Gene stable ID	Transcript stable ID	MGI symbol	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSMUSG00000097039	ENSMUST00000180432	Pvt1	15	62037986	62378096
ENSMUSG00000097039	ENSMUST00000181416	Pvt1	15	62037986	62378096
ENSMUSG00000097039	ENSMUST00000181657	Pvt1	15	62037986	62378096
ENSMUSG00000097039	ENSMUST00000183297	Pvt1	15	62037986	62378096
ENSMUSG00000097039	ENSMUST00000183028	Pvt1	15	62037986	62378096
ENSMUSG00000097039	ENSMUST00000182476	Pvt1	15	62037986	62378096
ENSMUSG00000097039	ENSMUST00000182380	Pvt1	15	62037986	62378096
ENSMUSG00000097039	ENSMUST00000182141	Pvt1	15	62037986	62378096
ENSMUSG00000099696	ENSMUST00000191603	2900052N01Rik	9	46913493	46927366
ENSMUSG00000099696	ENSMUST00000185568	2900052N01Rik	9	46913493	46927366
ENSMUSG00000099696	ENSMUST00000189828	2900052N01Rik	9	46913493	46927366
ENSMUSG00000052295	ENSMUST00000064097	8030423F21Rik	5	52607550	52619012
ENSMUSG00000090330	ENSMUST00000190693	9130221H12Rik	7	25228723	25230263
ENSMUSG00000090330	ENSMUST00000169914	9130221H12Rik	7	25228723	25230263
ENSMUSG00000085772	ENSMUST00000129425	D630024D03Rik	11	31790113	31824524
ENSMUSG00000085772	ENSMUST00000134944	D630024D03Rik	11	31790113	31824524
ENSMUSG00000085772	ENSMUST00000126265	D630024D03Rik	11	31790113	31824524
ENSMUSG00000101799	ENSMUST00000189867	9330175M20Rik	1	51218386	51333779
ENSMUSG00000084904	ENSMUST00000146644	Gm14827	X	94442732	94447727
ENSMUSG00000085967	ENSMUST00000152074	Gm12530	4	57172071	57176554
ENSMUSG00000101429	ENSMUST00000190488	BC055402	1	57200645	57214993
ENSMUSG00000099429	ENSMUST00000187829	1600019K03Rik	16	35503170	35509419
ENSMUSG00000087679	ENSMUST00000133808	C330006A16Rik	2	26136814	26140521
ENSMUSG00000087679	ENSMUST00000163836	C330006A16Rik	2	26136814	26140521
ENSMUSG00000097825	ENSMUST00000181335	9630001P10Rik	5	45638699	45645469
ENSMUSG00000097825	ENSMUST00000181083	9630001P10Rik	5	45638699	45645469
ENSMUSG00000097825	ENSMUST00000200144	9630001P10Rik	5	45638699	45645469
ENSMUSG00000085720	ENSMUST00000187911	Gm7854	5	43151686	43235355
ENSMUSG00000085720	ENSMUST00000187409	Gm7854	5	43151686	43235355
ENSMUSG00000085720	ENSMUST00000140650	Gm7854	5	43151686	43235355
ENSMUSG00000100084	ENSMUST00000188271	2310068J16Rik	15	99972164	99973287
ENSMUSG00000100747	ENSMUST00000187343	1700084E18Rik	2	30236795	30238223
ENSMUSG00000100747	ENSMUST00000205624	1700084E18Rik	2	30236795	30238223
ENSMUSG00000107355	ENSMUST00000201790	AI839979	5	31569595	31571397
ENSMUSG00000107355	ENSMUST00000200738	AI839979	5	31569595	31571397
ENSMUSG00000105352	ENSMUST00000200615	C030018K13Rik	5	64477008	64483967
ENSMUSG00000105352	ENSMUST00000196527	C030018K13Rik	5	64477008	64483967
ENSMUSG00000105352	ENSMUST00000196829	C030018K13Rik	5	64477008	64483967
ENSMUSG00000087249	ENSMUST00000151825	Gm16062	11	59810080	59818491
ENSMUSG00000097899	ENSMUST00000181756	Gm16894	1	40076228	40085851
ENSMUSG00000101701	ENSMUST00000186732	4930521E06Rik	1	44739676	44744949
ENSMUSG00000105402	ENSMUST00000198582	Gm3716	5	64593857	64610700
ENSMUSG00000105402	ENSMUST00000196283	Gm3716	5	64593857	64610700
ENSMUSG00000084915	ENSMUST00000136218	C230037L18Rik	15	89476236	89484847
ENSMUSG00000084915	ENSMUST00000166953	C230037L18Rik	15	89476236	89484847
ENSMUSG00000084915	ENSMUST00000168835	C230037L18Rik	15	89476236	89484847
ENSMUSG00000105234	ENSMUST00000199751	4930459L07Rik	5	58443239	58452999
ENSMUSG00000085515	ENSMUST00000141452	C630028M04Rik	4	51968094	52051110
ENSMUSG00000100837	ENSMUST00000213914	1700063D05Rik	9	41192446	41217990
ENSMUSG00000100837	ENSMUST00000214568	1700063D05Rik	9	41192446	41217990
ENSMUSG00000100837	ENSMUST00000185590	1700063D05Rik	9	41192446	41217990
ENSMUSG00000100837	ENSMUST00000191461	1700063D05Rik	9	41192446	41217990
ENSMUSG00000100837	ENSMUST00000188499	1700063D05Rik	9	41192446	41217990
ENSMUSG00000091050	ENSMUST00000163781	9330020H09Rik	15	98567324	98569583
ENSMUSG00000075511	ENSMUST00000178628	1700001L05Rik	15	83357526	83367282
ENSMUSG00000075511	ENSMUST00000179705	1700001L05Rik	15	83357526	83367282
ENSMUSG00000075511	ENSMUST00000100370	1700001L05Rik	15	83357526	83367282
ENSMUSG00000075511	ENSMUST00000177890	1700001L05Rik	15	83357526	83367282
ENSMUSG00000085622	ENSMUST00000127129	3110056K07Rik	12	70991615	71015832
ENSMUSG00000085622	ENSMUST00000136690	3110056K07Rik	12	70991615	71015832
ENSMUSG00000075555	ENSMUST00000131710	Gm10863	15	79166041	79227524
ENSMUSG00000075555	ENSMUST00000130745	Gm10863	15	79166041	79227524
ENSMUSG00000075555	ENSMUST00000147620	Gm10863	15	79166041	79227524
ENSMUSG00000075555	ENSMUST00000144651	Gm10863	15	79166041	79227524
ENSMUSG00000075555	ENSMUST00000148028	Gm10863	15	79166041	79227524
ENSMUSG00000087177	ENSMUST00000129191	E130307A14Rik	10	39621412	39732007
ENSMUSG00000087177	ENSMUST00000151921	E130307A14Rik	10	39621412	39732007
ENSMUSG00000087177	ENSMUST00000143651	E130307A14Rik	10	39621412	39732007
ENSMUSG00000087177	ENSMUST00000139356	E130307A14Rik	10	39621412	39732007
ENSMUSG00000087177	ENSMUST00000133302	E130307A14Rik	10	39621412	39732007
ENSMUSG00000087177	ENSMUST00000139429	E130307A14Rik	10	39621412	39732007
ENSMUSG00000087177	ENSMUST00000153261	E130307A14Rik	10	39621412	39732007
ENSMUSG00000087177	ENSMUST00000139891	E130307A14Rik	10	39621412	39732007
ENSMUSG00000087177	ENSMUST00000145971	E130307A14Rik	10	39621412	39732007
ENSMUSG00000087177	ENSMUST00000136862	E130307A14Rik	10	39621412	39732007
ENSMUSG00000087177	ENSMUST00000149830	E130307A14Rik	10	39621412	39732007
ENSMUSG00000087177	ENSMUST00000155482	E130307A14Rik	10	39621412	39732007
ENSMUSG00000087177	ENSMUST00000153113	E130307A14Rik	10	39621412	39732007
ENSMUSG00000097290	ENSMUST00000211443	1300002E11Rik	16	21794318	21809040
ENSMUSG00000097290	ENSMUST00000209449	1300002E11Rik	16	21794318	21809040
ENSMUSG00000097290	ENSMUST00000181780	1300002E11Rik	16	21794318	21809040
ENSMUSG00000097290	ENSMUST00000209728	1300002E11Rik	16	21794318	21809040
ENSMUSG00000097290	ENSMUST00000181960	1300002E11Rik	16	21794318	21809040
ENSMUSG00000097290	ENSMUST00000209429	1300002E11Rik	16	21794318	21809040
ENSMUSG00000097290	ENSMUST00000180830	1300002E11Rik	16	21794318	21809040
ENSMUSG00000100301	ENSMUST00000191114	6030407O03Rik	1	73618088	73864466
ENSMUSG00000100301	ENSMUST00000189514	6030407O03Rik	1	73618088	73864466
ENSMUSG00000086712	ENSMUST00000123127	AI427809	4	53261356	53270232
ENSMUSG00000086712	ENSMUST00000186737	AI427809	4	53261356	53270232
ENSMUSG00000086712	ENSMUST00000123044	AI427809	4	53261356	53270232
ENSMUSG00000086712	ENSMUST00000098075	AI427809	4	53261356	53270232
ENSMUSG00000075408	ENSMUST00000191426	6030408B16Rik	15	101293232	101297426
ENSMUSG00000075408	ENSMUST00000071328	6030408B16Rik	15	101293232	101297426
ENSMUSG00000086909	ENSMUST00000132691	Gm4926	11	46636516	46645006
ENSMUSG00000053714	ENSMUST00000206436	4732471J01Rik	7	25376819	25566417
ENSMUSG00000053714	ENSMUST00000205787	4732471J01Rik	7	25376819	25566417
ENSMUSG00000053714	ENSMUST00000206300	4732471J01Rik	7	25376819	25566417
ENSMUSG00000053714	ENSMUST00000066316	4732471J01Rik	7	25376819	25566417
ENSMUSG00000099950	ENSMUST00000189293	9130227L01Rik	1	55931241	55972328
ENSMUSG00000099950	ENSMUST00000188040	9130227L01Rik	1	55931241	55972328
ENSMUSG00000086290	ENSMUST00000137343	Snhg12	4	132308678	132311024
ENSMUSG00000086290	ENSMUST00000144705	Snhg12	4	132308678	132311024
ENSMUSG00000086290	ENSMUST00000153474	Snhg12	4	132308678	132311024
ENSMUSG00000086290	ENSMUST00000126380	Snhg12	4	132308678	132311024
ENSMUSG00000086290	ENSMUST00000128000	Snhg12	4	132308678	132311024
ENSMUSG00000086290	ENSMUST00000128131	Snhg12	4	132308678	132311024
ENSMUSG00000086290	ENSMUST00000182826	Snhg12	4	132308678	132311024
ENSMUSG00000085416	ENSMUST00000130004	1700019G24Rik	6	5963909	5977393
ENSMUSG00000085715	ENSMUST00000152916	Tsix	X	103431517	103484957
ENSMUSG00000085715	ENSMUST00000211291	Tsix	X	103431517	103484957
ENSMUSG00000107198	ENSMUST00000200707	Gm19619	5	91257571	91283421
ENSMUSG00000109644	ENSMUST00000210383	0610005C13Rik	7	45567794	45575327
ENSMUSG00000109644	ENSMUST00000210569	0610005C13Rik	7	45567794	45575327
ENSMUSG00000109644	ENSMUST00000209416	0610005C13Rik	7	45567794	45575327
ENSMUSG00000109644	ENSMUST00000211209	0610005C13Rik	7	45567794	45575327
ENSMUSG00000109644	ENSMUST00000209910	0610005C13Rik	7	45567794	45575327
ENSMUSG00000109644	ENSMUST00000209510	0610005C13Rik	7	45567794	45575327
ENSMUSG00000109644	ENSMUST00000210866	0610005C13Rik	7	45567794	45575327
ENSMUSG00000109644	ENSMUST00000211521	0610005C13Rik	7	45567794	45575327
ENSMUSG00000109644	ENSMUST00000210623	0610005C13Rik	7	45567794	45575327
ENSMUSG00000109644	ENSMUST00000211530	0610005C13Rik	7	45567794	45575327
ENSMUSG00000109644	ENSMUST00000210965	0610005C13Rik	7	45567794	45575327
ENSMUSG00000097466	ENSMUST00000181893	D430036J16Rik	9	81631551	81645156
ENSMUSG00000097466	ENSMUST00000181447	D430036J16Rik	9	81631551	81645156
ENSMUSG00000097466	ENSMUST00000183536	D430036J16Rik	9	81631551	81645156
ENSMUSG00000097466	ENSMUST00000180663	D430036J16Rik	9	81631551	81645156
ENSMUSG00000097466	ENSMUST00000183781	D430036J16Rik	9	81631551	81645156
ENSMUSG00000087466	ENSMUST00000150367	A330041J22Rik	9	86695460	86701253
ENSMUSG00000086370	ENSMUST00000130063	Ftx	X	103560907	103623754
ENSMUSG00000086370	ENSMUST00000156240	Ftx	X	103560907	103623754
ENSMUSG00000086370	ENSMUST00000145803	Ftx	X	103560907	103623754
ENSMUSG00000086370	ENSMUST00000156211	Ftx	X	103560907	103623754
ENSMUSG00000086370	ENSMUST00000125419	Ftx	X	103560907	103623754
ENSMUSG00000086370	ENSMUST00000123841	Ftx	X	103560907	103623754
ENSMUSG00000084821	ENSMUST00000142678	Gm15880	7	80636017	80644384
ENSMUSG00000078122	ENSMUST00000133125	F630028O10Rik	X	96239926	96243636
ENSMUSG00000078122	ENSMUST00000147681	F630028O10Rik	X	96239926	96243636
ENSMUSG00000021268	ENSMUST00000129245	Meg3	12	109541001	109571726
ENSMUSG00000021268	ENSMUST00000143836	Meg3	12	109541001	109571726
ENSMUSG00000021268	ENSMUST00000124106	Meg3	12	109541001	109571726
ENSMUSG00000021268	ENSMUST00000143272	Meg3	12	109541001	109571726
ENSMUSG00000021268	ENSMUST00000128178	Meg3	12	109541001	109571726
ENSMUSG00000021268	ENSMUST00000126289	Meg3	12	109541001	109571726
ENSMUSG00000021268	ENSMUST00000146701	Meg3	12	109541001	109571726
ENSMUSG00000021268	ENSMUST00000143847	Meg3	12	109541001	109571726
ENSMUSG00000021268	ENSMUST00000128458	Meg3	12	109541001	109571726
ENSMUSG00000021268	ENSMUST00000150851	Meg3	12	109541001	109571726
ENSMUSG00000021268	ENSMUST00000166636	Meg3	12	109541001	109571726
ENSMUSG00000097113	ENSMUST00000180495	Gm19705	1	136670769	136690804
ENSMUSG00000097113	ENSMUST00000181491	Gm19705	1	136670769	136690804
ENSMUSG00000097113	ENSMUST00000181524	Gm19705	1	136670769	136690804
ENSMUSG00000097113	ENSMUST00000180962	Gm19705	1	136670769	136690804
ENSMUSG00000055048	ENSMUST00000186595	Gm9962	7	57387272	57409941
ENSMUSG00000055048	ENSMUST00000085241	Gm9962	7	57387272	57409941
ENSMUSG00000087620	ENSMUST00000136406	5330434G04Rik	X	105348282	105391776
ENSMUSG00000087620	ENSMUST00000150604	5330434G04Rik	X	105348282	105391776
ENSMUSG00000087620	ENSMUST00000142109	5330434G04Rik	X	105348282	105391776
ENSMUSG00000087620	ENSMUST00000130264	5330434G04Rik	X	105348282	105391776
ENSMUSG00000085041	ENSMUST00000148892	BB031773	4	103004106	103011965
ENSMUSG00000087301	ENSMUST00000141149	Gm13629	2	66440880	66546026
ENSMUSG00000087301	ENSMUST00000152740	Gm13629	2	66440880	66546026
ENSMUSG00000093452	ENSMUST00000183750	Zfhx2os	14	55073091	55075874
ENSMUSG00000087410	ENSMUST00000125538	2310065F04Rik	11	67112461	67120080
ENSMUSG00000087410	ENSMUST00000153497	2310065F04Rik	11	67112461	67120080
ENSMUSG00000102014	ENSMUST00000188163	2900009J06Rik	1	127753616	127774092
ENSMUSG00000102014	ENSMUST00000185310	2900009J06Rik	1	127753616	127774092
ENSMUSG00000102362	ENSMUST00000194514	4930509J09Rik	3	73351206	73481651
ENSMUSG00000107722	ENSMUST00000203191	2900060B14Rik	1	118458652	118459267
ENSMUSG00000107722	ENSMUST00000204125	2900060B14Rik	1	118458652	118459267
ENSMUSG00000092183	ENSMUST00000173208	4930515G01Rik	5	114773737	114774983
ENSMUSG00000100632	ENSMUST00000191563	9430060I03Rik	1	92933526	92950590
ENSMUSG00000094732	ENSMUST00000179640	1500015L24Rik	19	20405288	20422787
ENSMUSG00000094732	ENSMUST00000179010	1500015L24Rik	19	20405288	20422787
ENSMUSG00000050157	ENSMUST00000059658	Gm867	10	75937723	75940672
ENSMUSG00000050157	ENSMUST00000219979	Gm867	10	75937723	75940672
ENSMUSG00000087497	ENSMUST00000135037	2810001G20Rik	11	64079484	64083259
ENSMUSG00000087497	ENSMUST00000146333	2810001G20Rik	11	64079484	64083259
ENSMUSG00000086008	ENSMUST00000126769	Gm8817	X	167063194	167070380
ENSMUSG00000086008	ENSMUST00000133867	Gm8817	X	167063194	167070380
ENSMUSG00000086008	ENSMUST00000171902	Gm8817	X	167063194	167070380
ENSMUSG00000086224	ENSMUST00000128815	2700069I18Rik	3	5177586	5220841
ENSMUSG00000086224	ENSMUST00000177440	2700069I18Rik	3	5177586	5220841
ENSMUSG00000099170	ENSMUST00000183878	5730403I07Rik	9	77366412	77399418
ENSMUSG00000097767	ENSMUST00000182953	Miat	5	112213228	112229395
ENSMUSG00000097767	ENSMUST00000181535	Miat	5	112213228	112229395
ENSMUSG00000097767	ENSMUST00000182258	Miat	5	112213228	112229395
ENSMUSG00000097767	ENSMUST00000182509	Miat	5	112213228	112229395
ENSMUSG00000097767	ENSMUST00000183036	Miat	5	112213228	112229395
ENSMUSG00000097767	ENSMUST00000182699	Miat	5	112213228	112229395
ENSMUSG00000086690	ENSMUST00000144828	4933406J10Rik	7	82743368	82755644
ENSMUSG00000100075	ENSMUST00000187897	1700018L02Rik	19	29046245	29048729
ENSMUSG00000086628	ENSMUST00000135564	Gm16157	7	68266339	68276594
ENSMUSG00000086628	ENSMUST00000124813	Gm16157	7	68266339	68276594
ENSMUSG00000103428	ENSMUST00000192263	Gm20754	3	73066316	73594830
ENSMUSG00000103428	ENSMUST00000192642	Gm20754	3	73066316	73594830
ENSMUSG00000104015	ENSMUST00000192022	Gm10745	3	11823229	11844359
ENSMUSG00000075010	ENSMUST00000099676	AW112010	19	11047617	11050566
ENSMUSG00000109006	ENSMUST00000209115	B230209E15Rik	7	61529871	61615327
ENSMUSG00000109006	ENSMUST00000211785	B230209E15Rik	7	61529871	61615327
ENSMUSG00000048106	ENSMUST00000198527	4632415L05Rik	3	19894898	19898984
ENSMUSG00000048106	ENSMUST00000059704	4632415L05Rik	3	19894898	19898984
ENSMUSG00000051729	ENSMUST00000060526	Gm5087	14	13157388	13284638
ENSMUSG00000051729	ENSMUST00000161835	Gm5087	14	13157388	13284638
ENSMUSG00000051729	ENSMUST00000140967	Gm5087	14	13157388	13284638
ENSMUSG00000087095	ENSMUST00000136990	Emx2os	19	59425104	59458635
ENSMUSG00000038408	ENSMUST00000150418	1700018A04Rik	13	31565492	31582513
ENSMUSG00000038408	ENSMUST00000126138	1700018A04Rik	13	31565492	31582513
ENSMUSG00000038408	ENSMUST00000140980	1700018A04Rik	13	31565492	31582513
ENSMUSG00000091523	ENSMUST00000165610	AU040972	11	79481719	79484031
ENSMUSG00000085007	ENSMUST00000124606	Gm11549	3	36515057	36521813
ENSMUSG00000084771	ENSMUST00000175942	A230072E10Rik	X	151291974	151344846
ENSMUSG00000084771	ENSMUST00000146161	A230072E10Rik	X	151291974	151344846
ENSMUSG00000084771	ENSMUST00000176662	A230072E10Rik	X	151291974	151344846
ENSMUSG00000084771	ENSMUST00000175825	A230072E10Rik	X	151291974	151344846
ENSMUSG00000097162	ENSMUST00000181189	2310010J17Rik	7	90124822	90129984
ENSMUSG00000097162	ENSMUST00000209166	2310010J17Rik	7	90124822	90129984
ENSMUSG00000097162	ENSMUST00000209164	2310010J17Rik	7	90124822	90129984
ENSMUSG00000101693	ENSMUST00000191207	Gm19461	1	133250398	133269808
ENSMUSG00000101693	ENSMUST00000186799	Gm19461	1	133250398	133269808
ENSMUSG00000101693	ENSMUST00000191132	Gm19461	1	133250398	133269808
ENSMUSG00000101693	ENSMUST00000186027	Gm19461	1	133250398	133269808
ENSMUSG00000101693	ENSMUST00000189590	Gm19461	1	133250398	133269808
ENSMUSG00000089726	ENSMUST00000134140	Mir17hg	14	115042879	115046727
ENSMUSG00000097697	ENSMUST00000181235	4833412C05Rik	7	67784538	67804139
ENSMUSG00000097697	ENSMUST00000208257	4833412C05Rik	7	67784538	67804139
ENSMUSG00000092341	ENSMUST00000172812	Malat1	19	5795690	5802672
ENSMUSG00000092341	ENSMUST00000173314	Malat1	19	5795690	5802672
ENSMUSG00000092341	ENSMUST00000174808	Malat1	19	5795690	5802672
ENSMUSG00000092341	ENSMUST00000173499	Malat1	19	5795690	5802672
ENSMUSG00000092341	ENSMUST00000173523	Malat1	19	5795690	5802672
ENSMUSG00000097571	ENSMUST00000181020	Jpx	X	103493558	103506425
ENSMUSG00000097571	ENSMUST00000183027	Jpx	X	103493558	103506425
ENSMUSG00000097571	ENSMUST00000182447	Jpx	X	103493558	103506425
ENSMUSG00000097571	ENSMUST00000182486	Jpx	X	103493558	103506425
ENSMUSG00000097772	ENSMUST00000181873	5430416N02Rik	5	100420842	100429535
ENSMUSG00000097772	ENSMUST00000180779	5430416N02Rik	5	100420842	100429535
ENSMUSG00000097772	ENSMUST00000196399	5430416N02Rik	5	100420842	100429535
ENSMUSG00000097772	ENSMUST00000198522	5430416N02Rik	5	100420842	100429535
ENSMUSG00000097709	ENSMUST00000186183	2810429I04Rik	13	3478230	3501393
ENSMUSG00000097709	ENSMUST00000187921	2810429I04Rik	13	3478230	3501393
ENSMUSG00000097709	ENSMUST00000181708	2810429I04Rik	13	3478230	3501393
ENSMUSG00000097709	ENSMUST00000189464	2810429I04Rik	13	3478230	3501393
ENSMUSG00000097709	ENSMUST00000191585	2810429I04Rik	13	3478230	3501393
ENSMUSG00000097709	ENSMUST00000180836	2810429I04Rik	13	3478230	3501393
ENSMUSG00000097709	ENSMUST00000186642	2810429I04Rik	13	3478230	3501393
ENSMUSG00000097709	ENSMUST00000185835	2810429I04Rik	13	3478230	3501393
ENSMUSG00000097709	ENSMUST00000180567	2810429I04Rik	13	3478230	3501393
ENSMUSG00000097709	ENSMUST00000186610	2810429I04Rik	13	3478230	3501393
ENSMUSG00000097709	ENSMUST00000190547	2810429I04Rik	13	3478230	3501393
ENSMUSG00000097709	ENSMUST00000188642	2810429I04Rik	13	3478230	3501393
ENSMUSG00000097391	ENSMUST00000183144	Mirg	12	109729764	109749460
ENSMUSG00000097391	ENSMUST00000182074	Mirg	12	109729764	109749460
ENSMUSG00000097391	ENSMUST00000182185	Mirg	12	109729764	109749460
ENSMUSG00000097391	ENSMUST00000182499	Mirg	12	109729764	109749460
ENSMUSG00000097391	ENSMUST00000182268	Mirg	12	109729764	109749460
ENSMUSG00000097391	ENSMUST00000181543	Mirg	12	109729764	109749460
ENSMUSG00000097391	ENSMUST00000183116	Mirg	12	109729764	109749460
ENSMUSG00000097391	ENSMUST00000182231	Mirg	12	109729764	109749460
ENSMUSG00000097391	ENSMUST00000181496	Mirg	12	109729764	109749460
ENSMUSG00000097391	ENSMUST00000183068	Mirg	12	109729764	109749460
ENSMUSG00000097391	ENSMUST00000183084	Mirg	12	109729764	109749460
ENSMUSG00000097391	ENSMUST00000182300	Mirg	12	109729764	109749460
ENSMUSG00000097073	ENSMUST00000180723	9430037G07Rik	9	88595325	88599516
ENSMUSG00000097073	ENSMUST00000180982	9430037G07Rik	9	88595325	88599516
ENSMUSG00000053117	ENSMUST00000065383	E330013P04Rik	19	60144675	60162591
ENSMUSG00000053117	ENSMUST00000190409	E330013P04Rik	19	60144675	60162591
ENSMUSG00000053117	ENSMUST00000190698	E330013P04Rik	19	60144675	60162591
ENSMUSG00000104585	ENSMUST00000200412	4921511C10Rik	3	79212919	79253913
ENSMUSG00000018451	ENSMUST00000156068	6330403K07Rik	11	71031941	71033513
ENSMUSG00000087601	ENSMUST00000152002	Uchl1os	5	66626495	66676498
ENSMUSG00000087601	ENSMUST00000177319	Uchl1os	5	66626495	66676498
ENSMUSG00000100274	ENSMUST00000188582	1700006F04Rik	14	119749225	119751564
ENSMUSG00000085900	ENSMUST00000149156	A930041C12Rik	5	107630250	107633850
ENSMUSG00000100459	ENSMUST00000190707	Gm5833	1	138640095	138682077
ENSMUSG00000100459	ENSMUST00000186285	Gm5833	1	138640095	138682077
ENSMUSG00000100600	ENSMUST00000189574	A230077H06Rik	7	40818476	40900937
ENSMUSG00000100600	ENSMUST00000188579	A230077H06Rik	7	40818476	40900937
ENSMUSG00000100600	ENSMUST00000189855	A230077H06Rik	7	40818476	40900937
